optimizer,lr,weight_decay,batch_size,epochs,final_train_loss,final_val_loss
adamw,1e-05,0.0,16,5,36.860084284906804,36.81197415865385
adamw,1e-05,0.0,32,5,41.007314698592474,40.92362800011268
adamw,1e-05,0.0,64,5,42.119450753195245,42.08526938302176
adamw,1e-05,0.0001,16,5,37.053642637833306,37.053473252516525
adamw,1e-05,0.0001,32,5,41.44517719434655,41.54241737952599
adamw,1e-05,0.0001,64,5,42.308144084194254,42.26990672520229
adamw,1e-05,0.001,16,5,37.443799292522925,37.383608744694634
adamw,1e-05,0.001,32,5,41.19406555839207,41.18798417311449
adamw,1e-05,0.001,64,5,42.2401481762267,42.288067953927175
adamw,1e-05,0.01,16,5,36.0998535985532,36.08170509338379
adamw,1e-05,0.01,32,5,41.726262963336445,41.79103645911584
adamw,1e-05,0.01,64,5,42.51642755876507,42.515314374651226
adamw,1e-05,0.1,16,5,37.157778980420986,37.082487693199745
adamw,1e-05,0.1,32,5,41.21529885996943,41.2984619140625
adamw,1e-05,0.1,64,5,42.46962798269171,42.540105547223774
adamw,3e-05,0.0,16,5,22.045047793181045,22.013619349553036
adamw,3e-05,0.0,32,5,29.653682128242824,29.59396156897912
adamw,3e-05,0.0,64,5,39.19180251004403,39.261056082589285
adamw,3e-05,0.0001,16,5,21.80522421961245,21.803961680485653
adamw,3e-05,0.0001,32,5,30.249157781186312,30.207230201134315
adamw,3e-05,0.0001,64,5,39.09470407586349,39.040588923863005
adamw,3e-05,0.001,16,5,21.29029611504596,21.237296544588528
adamw,3e-05,0.001,32,5,30.30940984643024,30.261138916015625
adamw,3e-05,0.001,64,5,38.829950299179345,38.86292920793806
adamw,3e-05,0.01,16,5,21.834719326185144,21.75427275437575
adamw,3e-05,0.01,32,5,30.32134779225225,30.278835443349983
adamw,3e-05,0.01,64,5,39.33579280920196,39.2084470476423
adamw,3e-05,0.1,16,5,21.886488284235416,21.901151657104492
adamw,3e-05,0.1,32,5,30.69466733517854,30.577997354360726
adamw,3e-05,0.1,64,5,38.874334168015864,39.02551106044224
adamw,0.0001,0.0,16,5,15.06935858933822,15.009548664093018
adamw,0.0001,0.0,32,5,18.32143961035687,18.356069271381084
adamw,0.0001,0.0,64,5,23.06089237280059,22.96848624093192
adamw,0.0001,0.0001,16,5,15.472310315007748,15.490750349484957
adamw,0.0001,0.0001,32,5,18.488484291408373,18.529771071213943
adamw,0.0001,0.0001,64,5,23.643276783457974,23.536882672991073
adamw,0.0001,0.001,16,5,15.254212740193243,15.186969133523794
adamw,0.0001,0.001,32,5,18.486203384399413,18.58424348097581
adamw,0.0001,0.001,64,5,24.45872517635948,24.342812946864537
